ID,RA,DEC,HEALPixels
144,238.28699926,-83.25010000,40987
145,248.87523456,-83.25010000,40988
146,259.46346985,-83.25010000,40983
147,270.05170515,-83.25010000,41024 45184
148,280.63994044,-83.25010000,45099
149,291.22817573,-83.25010000,45100
150,301.81641103,-83.25010000,45095
151,312.40464632,-83.25010000,45104
152,322.99288162,-83.25010000,45083
153,333.58111691,-83.25010000,45084
154,344.16935220,-83.25010000,45079
155,354.75758750,-83.25010000,45120
156,0.00000000,-82.35010000,32898 32904 45121 45124
157,9.47368421,-82.35010000,32897 32899
158,18.94736842,-82.35010000,32814 32900
159,28.42105263,-82.35010000,32813 32815
160,37.89473684,-82.35010000,32818 32824
161,47.36842105,-82.35010000,32817 32819
162,56.84210526,-82.35010000,32798 32799 32820
163,66.31578947,-82.35010000,32797 32840
164,75.78947368,-82.35010000,32834 32835
165,85.26315789,-82.35010000,32833 32836
166,94.73684211,-82.35010000,36994 37000
167,104.21052632,-82.35010000,36993 36995
168,113.68421053,-82.35010000,36910 36996
169,123.15789474,-82.35010000,36909 36911 36920
170,132.63157895,-82.35010000,36914 36915
171,142.10526316,-82.35010000,36913 36916
172,151.57894737,-82.35010000,36894 36895
173,161.05263158,-82.35010000,36893 36936
174,170.52631579,-82.35010000,36930 36931
175,180.00000000,-82.35010000,36929 36932 41090 41096
176,189.47368421,-82.35010000,41089 41091
177,198.94736842,-82.35010000,41006 41092
178,208.42105263,-82.35010000,41005 41007
179,217.89473684,-82.35010000,41010 41016
180,227.36842105,-82.35010000,41009 41011
181,236.84210526,-82.35010000,40990 40991 41012
182,246.31578947,-82.35010000,40989 41032
183,255.78947368,-82.35010000,41026 41027
184,265.26315789,-82.35010000,41025 41028
185,274.73684211,-82.35010000,45186 45192
186,284.21052632,-82.35010000,45185 45187
187,293.68421053,-82.35010000,45102 45188
188,303.15789474,-82.35010000,45101 45103 45112
189,312.63157895,-82.35010000,45106 45107
190,322.10526316,-82.35010000,45105 45108
191,331.57894737,-82.35010000,45086 45087
192,341.05263158,-82.35010000,45085 45128
193,350.52631579,-82.35010000,45122 45123
194,4.28299086,-81.45010000,32906
195,12.65508388,-81.45010000,32905
196,21.02717690,-81.45010000,32902
197,29.39926992,-81.45010000,32901
198,37.77136295,-81.45010000,32825 32826
199,46.14345597,-81.45010000,32822
200,54.51554899,-81.45010000,32821
201,62.88764202,-81.45010000,32842
202,71.25973504,-81.45010000,32841
203,79.63182806,-81.45010000,32838
204,88.00392109,-81.45010000,32837
205,96.37601411,-81.45010000,37002
206,104.74810713,-81.45010000,36998 37001
207,113.12020016,-81.45010000,36997
208,121.49229318,-81.45010000,36922
209,129.86438620,-81.45010000,36921
210,138.23647923,-81.45010000,36918
211,146.60857225,-81.45010000,36917
212,154.98066527,-81.45010000,36938
213,163.35275830,-81.45010000,36937
214,171.72485132,-81.45010000,36934
215,180.09694434,-81.45010000,36933 41098
216,188.46903737,-81.45010000,41097
217,196.84113039,-81.45010000,41094
218,205.21322341,-81.45010000,41093
219,213.58531644,-81.45010000,41018
220,221.95740946,-81.45010000,41017
221,230.32950248,-81.45010000,41014
222,238.70159551,-81.45010000,41013
223,247.07368853,-81.45010000,41033 41034
224,255.44578155,-81.45010000,41030
225,263.81787458,-81.45010000,41029
226,272.18996760,-81.45010000,45194
227,280.56206062,-81.45010000,45193
228,288.93415365,-81.45010000,45190
229,297.30624667,-81.45010000,45189
230,305.67833969,-81.45010000,45114
231,314.05043272,-81.45010000,45113
232,322.42252574,-81.45010000,45109 45110
233,330.79461876,-81.45010000,45130
234,339.16671179,-81.45010000,45129
235,347.53880481,-81.45010000,45126
236,355.91089783,-81.45010000,45125
237,0.00000000,-80.55010000,32928 45136
